fullName,htmlUrl,stars,topics,watchers,topicCount,kind
JetBrains/YouTrackSharp,https://github.com/JetBrains/YouTrackSharp,115,"[jetbrains, jetbrains-youtrack, youtrack, youtrack-api]",115,4,Other
JetBrains/colorSchemeTool,https://github.com/JetBrains/colorSchemeTool,290,[],290,0,Other
JetBrains/ideavim,https://github.com/JetBrains/ideavim,6120,"[ideavim, intellij, intellij-platform, jb-official, kotlin, vim, vim-emulator]",6120,7,Kotlin
JetBrains/Grammar-Kit,https://github.com/JetBrains/Grammar-Kit,534,[],534,0,Other
JetBrains/la-clojure,https://github.com/JetBrains/la-clojure,218,[],218,0,Other
JetBrains/MPS,https://github.com/JetBrains/MPS,1241,"[domain-specific-language, dsl]",1241,2,Other
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community,12926,"[code-editor, ide, intellij, intellij-community, intellij-platform]",12926,5,IntelliJ
JetBrains/youtrack-rest-python-library,https://github.com/JetBrains/youtrack-rest-python-library,118,[],118,0,Other
JetBrains/intellij-scala,https://github.com/JetBrains/intellij-scala,1066,"[intellij-idea, intellij-plugin, scala]",1066,3,IntelliJ
JetBrains/teamcity-messages,https://github.com/JetBrains/teamcity-messages,125,[],125,0,Other
JetBrains/kotlin,https://github.com/JetBrains/kotlin,39402,"[compiler, gradle-plugin, intellij-plugin, kotlin, kotlin-library, maven-plugin, programming-language]",39402,7,Kotlin
JetBrains/kotlin-web-demo,https://github.com/JetBrains/kotlin-web-demo,167,[],167,0,Kotlin
JetBrains/intellij-plugin-verifier,https://github.com/JetBrains/intellij-plugin-verifier,113,[],113,0,IntelliJ
JetBrains/intellij-samples,https://github.com/JetBrains/intellij-samples,146,[],146,0,IntelliJ
JetBrains/youtrack-workflows,https://github.com/JetBrains/youtrack-workflows,164,[],164,0,Other
JetBrains/intellij-plugins,https://github.com/JetBrains/intellij-plugins,1737,[],1737,0,IntelliJ
JetBrains/resharper-nuget,https://github.com/JetBrains/resharper-nuget,94,"[jetbrains, nuget, resharper, resharper-extension, resharper-plugin]",94,5,Other
